chrom,promoter_start,promoter_end,structure_start,structure_end,score_or_strand
CALYCQ020000004.1,2947,3947,3074,3114,.
CALYCQ020000004.1,2947,3947,3418,3456,.
CALYCQ020000004.1,2947,3947,3760,3798,.
CALYCQ020000005.1,4206,5982,4504,4528,.
CALYCQ020000006.1,19747,21315,20791,20815,.
CALYCQ020000007.1,23880,24880,24140,24158,.
CALYCQ020000016.1,18119,19119,18227,18258,.
CALYCQ020000019.1,6067,7067,6935,6963,.
CALYCQ020000020.1,6632,7632,6932,6958,.
CALYCQ020000020.1,6632,7632,7124,7161,.
CALYCQ020000026.1,2833,3833,3153,3170,.
CALYCQ020000036.1,17368,18368,17956,17988,.
CALYCQ020000036.1,17368,18368,18164,18191,.
CALYCQ020000036.1,21162,22162,22064,22082,.
CALYCQ020000041.1,20016,21016,20348,20370,.
CALYCQ020000042.1,12531,13846,13626,13644,.
CALYCQ020000042.1,15042,16042,15034,15061,.
CALYCQ020000043.1,7086,8086,7116,7143,.
CALYCQ020000045.1,10272,11272,10820,10853,.
CALYCQ020000054.1,7,1007,508,534,.
CALYCQ020000059.1,9352,10352,10099,10117,.
CALYCQ020000060.1,42438,43438,43087,43107,.
CALYCQ020000060.1,42438,43438,43279,43301,.
CALYCQ020000064.1,30914,31914,31520,31554,.
CALYCQ020000075.1,24268,25268,24389,24421,.
CALYCQ020000085.1,1723,2734,2474,2500,.
OX103943.1,79237,80330,79804,79834,.
OX103943.1,217272,218272,217570,217588,.
OX103943.1,358423,359423,358755,358773,.
OX103943.1,398929,399929,399689,399720,.
OX103943.1,564793,565793,565149,565175,.
OX103943.1,676739,677739,677188,677228,.
OX103943.1,869589,870818,869588,869610,.
OX103943.1,968575,969575,969086,969112,.
OX103943.1,1177617,1178617,1177602,1177618,.
OX103943.1,1404042,1405042,1404032,1404054,.
OX103943.1,1754100,1755100,1754812,1754838,.
OX103943.1,1754100,1755100,1754953,1754981,.
OX103943.1,1873400,1874450,1873853,1873875,.
OX103943.1,1886071,1887071,1886980,1887004,.
OX103943.1,1928213,1929274,1928282,1928309,.
OX103943.1,2311361,2312361,2311844,2311878,.
OX103943.1,2519989,2521744,2520780,2520810,.
OX103943.1,2539552,2540552,2539855,2539875,.
OX103943.1,2741194,2742201,2741859,2741883,.
OX103943.1,2827157,2828157,2827915,2827933,.
OX103943.1,2832803,2833803,2832972,2832996,.
OX103943.1,2832803,2833803,2833358,2833384,.
OX103943.1,2899544,2900544,2899679,2899718,.
OX103943.1,2979224,2980224,2979496,2979514,.
OX103943.1,3134194,3135194,3134257,3134283,.
OX103943.1,3581028,3582028,3581684,3581710,.
OX103943.1,4205044,4206308,4205280,4205306,.
OX103943.1,4421495,4422495,4422229,4422253,.
OX103943.1,4484869,4485869,4485722,4485747,.
OX103943.1,4498818,4499818,4499372,4499401,.
OX103943.1,5000855,5002633,5001575,5001602,.
OX103943.1,5272932,5273982,5273128,5273157,.
OX103943.1,5338972,5339972,5339764,5339786,.
OX103943.1,5358874,5359874,5359249,5359269,.
OX103943.1,5449293,5450293,5449801,5449834,.
OX103943.1,5729077,5730778,5730203,5730221,.
OX103943.1,5918875,5919875,5919653,5919678,.
OX103943.1,6068367,6069367,6068370,6068400,.
OX103943.1,6414436,6415436,6414770,6414797,.
OX103943.1,6435595,6436595,6436549,6436573,.
OX103943.1,7066172,7067172,7067068,7067090,.
OX103943.1,7653077,7654077,7654016,7654046,.
OX103943.1,7909484,7910484,7909630,7909654,.
